Architecture    Offer                   Publisher    Sku                              Urn                                                                         Version
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202506070                    24.04.202506070
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202506300                    24.04.202506300
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202507080                    24.04.202507080
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202507240                    24.04.202507240
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202507300                    24.04.202507300
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202508200                    24.04.202508200
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202508220                    24.04.202508220
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202509090                    24.04.202509090
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202509300                    24.04.202509300
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202510130                    24.04.202510130
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202510210                    24.04.202510210
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202512181                    24.04.202512181
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202601300                    24.04.202601300
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202603310                    24.04.202603310
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202604160                    24.04.202604160
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202404230                     24.04.202404230
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202407010                     24.04.202407010
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202407310                     24.04.202407310
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202408090                     24.04.202408090
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202408210                     24.04.202408210
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202408220                     24.04.202408220
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202408300                     24.04.202408300
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202409030                     24.04.202409030
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202409100                     24.04.202409100
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202409260                     24.04.202409260
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202410010                     24.04.202410010
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202410020                     24.04.202410020
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202410030                     24.04.202410030
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202410170                     24.04.202410170
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202411010                     24.04.202411010
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202501100                     24.04.202501100
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202502030                     24.04.202502030
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202502190                     24.04.202502190
x64             ubuntu-24_04-lts        Canonical    minimal-gen1                     Canonical:ubuntu-24_04-lts:minimal-gen1:24.04.202502210                     24.04.202502210
